,count,mean,std,min,25%,50%,75%,max
TX_ROOM_TEMPERATURE,5235.0,22.047258834765998,0.8412006693124273,19.3,21.5,21.9,22.6,25.1
MULTIPLEXER_I_CN,5235.0,15.414760267430752,1.0705371914606434,12.34,14.61,14.91,16.61,20.2
MULTIPLEXER_I_EB-NO,5235.0,12.904800382043936,1.070562982307449,9.83,12.1,12.4,14.1,17.69
MULTIPLEXER_I_LINK_MARGIN,5235.0,9.914720152817573,1.07052031025423,6.84,9.11,9.41,11.11,14.7
MULTIPLEXER_I_BITRATE,5235.0,27.856185291308503,0.4686301308240126,11.77,27.81,27.89,27.99,28.77
TRANSCODER_BITRATE,5235.0,27.788951289398277,0.38921325625157704,11.69,27.7,27.79,27.9,28.68
PA1_DC,5235.0,43.55588347659981,0.06249155681713103,43.37,43.51,43.55,43.59,43.84
PA2_DC,5235.0,43.21752244508118,0.09930554251552727,42.93,43.15,43.21,43.27,43.5
PA3_DC,5235.0,43.47188920725884,0.015175799144470179,43.42,43.46,43.47,43.48,43.55
PA4_DC,5235.0,43.50206494746896,0.0177022561695585,43.44,43.49,43.5,43.51,43.59
PA5_DC,5235.0,43.46679083094556,0.022347372021765673,43.4,43.45,43.47,43.48,43.57
PA6_DC,5235.0,43.56258643744031,0.011256379646202871,43.52,43.56,43.56,43.57,43.61
PA7_DC,5235.0,43.48782999044891,0.009343656408197098,43.45,43.48,43.49,43.49,43.53
PA8_DC,5235.0,43.4654135625597,0.012149398285058797,43.42,43.46,43.46,43.47,43.51
PA9_DC,5235.0,43.55504871060172,0.047539100771653325,43.39,43.52,43.55,43.58,43.76
PA10_DC,5235.0,43.47169818529131,0.024969232625494175,43.38,43.45,43.47,43.49,43.62
PA11_DC,5235.0,43.432036294173834,0.034978821869613326,43.25,43.41,43.43,43.44,43.82
PA12_DC,5235.0,43.44752435530086,0.012741482088810877,43.41,43.44,43.45,43.46,43.5
PA13_DC,5235.0,43.70384718242598,0.2628162042774138,43.05,43.48,43.63,43.9,44.61
PA14_DC,5235.0,43.4770735434575,0.05059743696842728,43.37,43.44,43.47,43.5,43.93
PA15_DC,5235.0,43.62213180515759,0.0180084526413134,43.56,43.61,43.62,43.64,43.68
PA16_DC,5235.0,43.81436867239733,0.209407058379178,43.26,43.66,43.8,43.95,44.67
PA17_DC,5235.0,43.568720152817576,0.019209765698225217,43.51,43.56,43.57,43.58,43.64
PA18_DC,5235.0,43.56250047755492,0.01323322399101767,43.52,43.55,43.56,43.57,43.61
TX_ROOM_HUMIDITY,5235.0,40.34699140401146,4.810268693794385,22.0,37.0,40.0,44.0,56.0
EXCITER_A_MER,5235.0,38.53046800382044,0.8177308082138467,37.0,38.0,39.0,39.0,39.0
EXCITER_B_MER,5235.0,34.02454632282713,4.022901853764228,24.0,31.50066548358474,36.0,36.62799467613132,38.0
TRANSMITTER_FWD_POWER,5235.0,19482.813562559695,1458.0402967943799,15767.0,18019.0,19981.0,20803.0,21841.0
TRANSMITTER_REFLECTED_POWER,5235.0,41.353199617956065,5.790607040878549,31.0,36.0,41.0,45.0,76.0
PA1_FWD_POWER,5235.0,928.6255778414518,112.42835288701123,758.7,851.9,894.5,944.0,1185.3
PA1_TEMP,5235.0,48.16523400191022,1.4984435045249107,45.0,47.0,48.0,49.0,55.0
PA2_FWD_POWER,5235.0,1135.3355873925502,51.634020259513726,1055.1,1069.6,1170.7,1175.2,1185.8
PA2_TEMP,5235.0,48.843935052531045,1.6694503211659257,46.0,48.0,49.0,50.0,56.0
PA3_FWD_POWER,5235.0,921.1678319006685,121.96388932222423,705.5,835.0,881.2,946.9,1187.8
